epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5496.26,1.85735,2.01108,1.84195,0.80509,0.72595,0.78291,0.63729,1.9057,1.92801,1.83099,4.6176e-05,4.6176e-05,4.6176e-05
42,5631.67,1.84157,2.00745,1.83268,0.78775,0.73855,0.78543,0.64025,1.89307,1.94145,1.82536,4.17804e-05,4.17804e-05,4.17804e-05
43,5768.27,1.81636,1.90395,1.82412,0.79363,0.72853,0.78346,0.63876,1.90131,1.87007,1.82601,3.73848e-05,3.73848e-05,3.73848e-05
44,5905.37,1.81637,1.8787,1.82073,0.8037,0.74205,0.79105,0.64584,1.89007,1.94735,1.82659,3.29892e-05,3.29892e-05,3.29892e-05
45,6043.73,1.81633,1.86949,1.82282,0.79942,0.73976,0.78999,0.64537,1.88349,2.23639,1.8244,2.85936e-05,2.85936e-05,2.85936e-05
46,6182.85,1.82713,1.93096,1.82432,0.80211,0.73709,0.78648,0.64196,1.89155,2.42248,1.8257,2.4198e-05,2.4198e-05,2.4198e-05
47,6319.22,1.8111,1.86394,1.81834,0.79784,0.72939,0.78517,0.64006,1.88897,1.94605,1.82411,1.98024e-05,1.98024e-05,1.98024e-05
48,6452.57,1.81771,1.92244,1.81842,0.78834,0.73682,0.78357,0.63979,1.87714,2.42209,1.82223,1.54068e-05,1.54068e-05,1.54068e-05
49,6585.53,1.79535,1.82422,1.82274,0.80538,0.74431,0.79285,0.64895,1.87393,2.08151,1.81948,1.10112e-05,1.10112e-05,1.10112e-05
50,6726.49,1.79824,1.85483,1.81659,0.79844,0.73938,0.78991,0.646,1.87606,2.2555,1.82144,6.6156e-06,6.6156e-06,6.6156e-06
