epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.397,1.47338,4.39555,1.12573,0.21723,0.31447,0.13445,0.09583,1.18652,3.1361,1.00845,7.39196e-05,7.39196e-05,7.39196e-05
2,190.494,1.23222,2.94656,0.99999,0.34199,0.49058,0.28939,0.21512,1.11382,2.3637,0.985,0.000144991,0.000144991,0.000144991
3,278.067,1.14606,2.34432,0.98312,0.36383,0.56168,0.35201,0.26707,1.04773,2.10574,0.96875,0.000213132,0.000213132,0.000213132
4,363.791,1.08038,2.01797,0.96753,0.43932,0.61309,0.44215,0.33948,0.9815,1.77916,0.95888,0.000208813,0.000208813,0.000208813
5,452.625,1.02578,1.82359,0.95642,0.45167,0.63751,0.47017,0.36259,0.97005,1.71805,0.95597,0.000204418,0.000204418,0.000204418
6,538.941,1.00421,1.68966,0.95351,0.4552,0.65605,0.48344,0.3714,0.94667,1.62117,0.95424,0.000200022,0.000200022,0.000200022
7,628.686,0.98467,1.56788,0.94591,0.57943,0.67082,0.6079,0.47088,0.93177,1.42411,0.94465,0.000195626,0.000195626,0.000195626
8,711.145,0.97187,1.48507,0.9461,0.62986,0.66514,0.64188,0.49775,0.92396,1.37846,0.94318,0.000191231,0.000191231,0.000191231
9,798.861,0.95668,1.38395,0.93875,0.64142,0.67512,0.66241,0.51657,0.91743,1.37899,0.94005,0.000186835,0.000186835,0.000186835
10,883.781,0.938,1.32668,0.93629,0.70954,0.6931,0.72531,0.57011,0.8966,1.23872,0.93584,0.00018244,0.00018244,0.00018244
11,971.078,0.92558,1.26433,0.93225,0.71076,0.70622,0.73464,0.57878,0.88531,1.19871,0.93359,0.000178044,0.000178044,0.000178044
12,1058.65,0.91816,1.21699,0.93235,0.7397,0.70619,0.73911,0.58404,0.88823,1.19111,0.93433,0.000173648,0.000173648,0.000173648
13,1141.83,0.91895,1.21496,0.93022,0.76937,0.71907,0.76724,0.60715,0.89129,1.12071,0.93296,0.000169253,0.000169253,0.000169253
14,1226.61,0.90667,1.18496,0.93019,0.79117,0.745,0.79142,0.62619,0.87627,1.08087,0.93142,0.000164857,0.000164857,0.000164857
15,1311.98,0.91044,1.17916,0.92954,0.78549,0.74084,0.78496,0.62329,0.88171,1.08976,0.93109,0.000160462,0.000160462,0.000160462
16,1399.32,0.89963,1.1113,0.92699,0.79158,0.75829,0.79398,0.62874,0.86917,1.04676,0.92839,0.000156066,0.000156066,0.000156066
17,1486.65,0.88779,1.08627,0.92179,0.81478,0.75517,0.80769,0.64277,0.86712,1.02748,0.92788,0.00015167,0.00015167,0.00015167
18,1576.66,0.8898,1.08425,0.92647,0.81394,0.75728,0.80737,0.64247,0.87523,1.03087,0.93054,0.000147275,0.000147275,0.000147275
19,1663.37,0.88134,1.03518,0.91925,0.80747,0.75581,0.80387,0.63924,0.85359,1.05613,0.9228,0.000142879,0.000142879,0.000142879
20,1755.25,0.88406,1.02361,0.91819,0.76382,0.73343,0.77559,0.61758,0.85381,1.05349,0.92234,0.000138484,0.000138484,0.000138484
21,1842.25,0.87353,1.01321,0.91934,0.8123,0.77739,0.81504,0.64948,0.85298,1.07685,0.92222,0.000134088,0.000134088,0.000134088
22,1933.46,0.87477,1.01156,0.91722,0.82437,0.78361,0.82362,0.65589,0.8547,0.93745,0.9208,0.000129692,0.000129692,0.000129692
23,2021.37,0.86563,0.97885,0.91643,0.82401,0.77859,0.82325,0.65635,0.84993,0.98397,0.92288,0.000125297,0.000125297,0.000125297
24,2111.49,0.87178,0.98364,0.92013,0.84634,0.79167,0.83785,0.66831,0.84392,0.97293,0.91867,0.000120901,0.000120901,0.000120901
25,2199.11,0.86773,0.96577,0.91695,0.84755,0.78729,0.83782,0.67061,0.84621,0.9084,0.91969,0.000116506,0.000116506,0.000116506
26,2289.97,0.8562,0.92939,0.91061,0.85534,0.79268,0.83977,0.67343,0.84257,0.9107,0.91815,0.00011211,0.00011211,0.00011211
27,2375.81,0.858,0.91967,0.91261,0.84589,0.78991,0.83735,0.67025,0.8397,0.88887,0.91496,0.000107714,0.000107714,0.000107714
28,2464.75,0.85337,0.9143,0.91142,0.8588,0.80619,0.84516,0.67509,0.85218,0.87406,0.92151,0.000103319,0.000103319,0.000103319
29,2554.72,0.85736,0.90976,0.91464,0.85148,0.79083,0.83859,0.67173,0.84015,0.89487,0.91595,9.89232e-05,9.89232e-05,9.89232e-05
30,2641.6,0.85959,0.90335,0.91431,0.84002,0.8091,0.84968,0.68258,0.83794,0.84768,0.91597,9.45276e-05,9.45276e-05,9.45276e-05
31,2731.26,0.85354,0.89031,0.91274,0.86949,0.80655,0.84954,0.6827,0.83795,0.8533,0.91465,9.0132e-05,9.0132e-05,9.0132e-05
32,2815.72,0.84714,0.87776,0.90824,0.85502,0.79773,0.84185,0.67563,0.8324,0.91682,0.91462,8.57364e-05,8.57364e-05,8.57364e-05
33,2905.25,0.84999,0.88436,0.91136,0.86097,0.79797,0.84328,0.67591,0.83409,0.89637,0.91403,8.13408e-05,8.13408e-05,8.13408e-05
34,2989.28,0.8464,0.8442,0.91042,0.86301,0.80571,0.84622,0.67889,0.83045,0.88289,0.9133,7.69452e-05,7.69452e-05,7.69452e-05
35,3077.5,0.84134,0.84931,0.90793,0.85598,0.80035,0.84166,0.67699,0.8299,0.90269,0.91382,7.25496e-05,7.25496e-05,7.25496e-05
36,3163.29,0.83934,0.85399,0.90686,0.86661,0.80167,0.84765,0.68173,0.83011,0.86042,0.91173,6.8154e-05,6.8154e-05,6.8154e-05
37,3252.81,0.83925,0.8437,0.90866,0.86345,0.81236,0.8484,0.68283,0.82553,0.89976,0.91244,6.37584e-05,6.37584e-05,6.37584e-05
38,3342.04,0.83654,0.84004,0.90654,0.86904,0.81236,0.85101,0.68533,0.82652,0.87041,0.91277,5.93628e-05,5.93628e-05,5.93628e-05
39,3428.62,0.83366,0.82657,0.90872,0.86988,0.81713,0.85404,0.68693,0.83048,0.83386,0.9132,5.49672e-05,5.49672e-05,5.49672e-05
40,3517.38,0.83898,0.83353,0.9094,0.87186,0.81653,0.8532,0.68675,0.82711,0.83348,0.91223,5.05716e-05,5.05716e-05,5.05716e-05
41,3604.41,0.83425,0.85231,0.90753,0.86222,0.80702,0.84711,0.67773,0.83009,0.85179,0.91139,4.6176e-05,4.6176e-05,4.6176e-05
42,3688.96,0.82609,0.85226,0.90346,0.87394,0.81143,0.85258,0.68389,0.82739,0.85327,0.91247,4.17804e-05,4.17804e-05,4.17804e-05
43,3777.05,0.81438,0.80412,0.90069,0.89211,0.81404,0.8527,0.68582,0.82413,0.8248,0.91097,3.73848e-05,3.73848e-05,3.73848e-05
44,3859.13,0.81904,0.78842,0.89978,0.86304,0.79944,0.84475,0.67862,0.82269,0.89373,0.9089,3.29892e-05,3.29892e-05,3.29892e-05
45,3946.11,0.81532,0.79332,0.89969,0.84896,0.80793,0.84939,0.68187,0.82201,0.94403,0.90873,2.85936e-05,2.85936e-05,2.85936e-05
46,4029.29,0.82689,0.82597,0.90061,0.84904,0.81292,0.85158,0.68388,0.82383,0.9005,0.91074,2.4198e-05,2.4198e-05,2.4198e-05
47,4117.34,0.81599,0.80231,0.89919,0.85928,0.81487,0.85221,0.68533,0.82905,0.84545,0.91068,1.98024e-05,1.98024e-05,1.98024e-05
48,4204.8,0.81621,0.81869,0.8974,0.86637,0.80843,0.85007,0.68358,0.8242,0.9208,0.90968,1.54068e-05,1.54068e-05,1.54068e-05
49,4291.61,0.80604,0.76903,0.89769,0.85739,0.81941,0.85474,0.68861,0.82198,0.86689,0.90947,1.10112e-05,1.10112e-05,1.10112e-05
50,4376.88,0.81143,0.79097,0.89764,0.85643,0.81585,0.8543,0.68754,0.82367,0.84977,0.90933,6.6156e-06,6.6156e-06,6.6156e-06
