epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.958,1.04369,2.34185,1.00911,0.44855,0.64554,0.47958,0.38091,0.83578,1.52111,0.9392,7.39196e-05,7.39196e-05,7.39196e-05
2,214.175,0.84102,1.32664,0.93086,0.61808,0.66034,0.65993,0.52645,0.80931,1.28892,0.9266,0.000144991,0.000144991,0.000144991
3,312.824,0.81719,1.09809,0.92325,0.77001,0.74859,0.79441,0.63579,0.81108,1.02295,0.92798,0.000213132,0.000213132,0.000213132
4,409.177,0.80485,0.98285,0.91739,0.85691,0.78224,0.83501,0.67837,0.77984,0.84732,0.91567,0.000208813,0.000208813,0.000208813
5,508.744,0.77556,0.87494,0.9088,0.85456,0.79625,0.84721,0.69228,0.78597,0.80608,0.91431,0.000204418,0.000204418,0.000204418
6,612.309,0.77437,0.83491,0.911,0.67598,0.73863,0.73094,0.59434,0.76908,1.05655,0.9113,0.000200022,0.000200022,0.000200022
7,711.207,0.76887,0.80576,0.90544,0.84175,0.7926,0.84944,0.69539,0.76519,0.75893,0.90685,0.000195626,0.000195626,0.000195626
8,818.649,0.76123,0.75012,0.906,0.84783,0.82559,0.86139,0.70672,0.75526,0.71766,0.9052,0.000191231,0.000191231,0.000191231
9,916.399,0.74982,0.69638,0.8991,0.81779,0.80848,0.84836,0.6963,0.7645,0.79401,0.90754,0.000186835,0.000186835,0.000186835
10,1017.45,0.73676,0.69322,0.89862,0.87087,0.84475,0.87521,0.72161,0.74956,0.67617,0.90319,0.00018244,0.00018244,0.00018244
11,1125.13,0.73277,0.65948,0.89603,0.84529,0.79605,0.84855,0.69647,0.75937,0.73345,0.89946,0.000178044,0.000178044,0.000178044
12,1231.34,0.73045,0.65075,0.89641,0.90608,0.84279,0.87629,0.72139,0.76007,0.70378,0.90426,0.000173648,0.000173648,0.000173648
13,1338.41,0.73009,0.6303,0.89366,0.86598,0.82875,0.86731,0.71569,0.75242,0.66893,0.8997,0.000169253,0.000169253,0.000169253
14,1444.74,0.72512,0.64169,0.89532,0.87282,0.84031,0.87132,0.71853,0.74889,0.7143,0.90055,0.000164857,0.000164857,0.000164857
15,1549.57,0.72937,0.60855,0.89407,0.88262,0.83906,0.86926,0.72064,0.74778,0.65426,0.89816,0.000160462,0.000160462,0.000160462
16,1657.21,0.71658,0.5939,0.89026,0.88528,0.85766,0.88109,0.73114,0.74604,0.60351,0.89785,0.000156066,0.000156066,0.000156066
17,1766.64,0.71089,0.56888,0.88799,0.87264,0.84423,0.87665,0.72618,0.75274,0.64789,0.90269,0.00015167,0.00015167,0.00015167
18,1865.65,0.71309,0.57411,0.89162,0.90924,0.84711,0.88121,0.73316,0.73428,0.66587,0.89536,0.000147275,0.000147275,0.000147275
19,1971.58,0.69935,0.54398,0.88414,0.894,0.8621,0.88567,0.73832,0.73228,0.60242,0.89328,0.000142879,0.000142879,0.000142879
20,2075.6,0.70874,0.54131,0.88517,0.86984,0.83389,0.87308,0.72564,0.73679,0.69831,0.89429,0.000138484,0.000138484,0.000138484
21,2180.99,0.69561,0.53905,0.88389,0.88524,0.84098,0.87274,0.72489,0.73596,0.68344,0.89154,0.000134088,0.000134088,0.000134088
22,2283.8,0.70025,0.51731,0.88215,0.90157,0.85585,0.8861,0.73952,0.73934,0.59676,0.89326,0.000129692,0.000129692,0.000129692
23,2390.49,0.69389,0.50557,0.8829,0.89198,0.85444,0.883,0.73612,0.73381,0.60664,0.89367,0.000125297,0.000125297,0.000125297
24,2495.85,0.69843,0.5104,0.88668,0.90969,0.86123,0.88723,0.74141,0.72996,0.61638,0.89097,0.000120901,0.000120901,0.000120901
25,2603.33,0.68945,0.50291,0.88112,0.90627,0.86371,0.88917,0.74409,0.73594,0.54727,0.89133,0.000116506,0.000116506,0.000116506
