epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,6808.33,1.50966,0.91288,1.75794,0.89463,0.85946,0.88713,0.74403,1.69531,1.17508,1.79938,4.6176e-05,4.6176e-05,4.6176e-05
42,6983.17,1.50242,0.90873,1.75406,0.8831,0.84717,0.87752,0.73661,1.6978,1.28737,1.79994,4.17804e-05,4.17804e-05,4.17804e-05
43,7154.7,1.48808,0.8662,1.74765,0.88095,0.85722,0.88406,0.74309,1.69241,1.2076,1.7976,3.73848e-05,3.73848e-05,3.73848e-05
44,7321.49,1.49106,0.86194,1.74512,0.89415,0.85374,0.88691,0.74535,1.68706,1.36823,1.79757,3.29892e-05,3.29892e-05,3.29892e-05
45,7492.69,1.49101,0.86243,1.74697,0.88993,0.86415,0.88638,0.74474,1.69097,1.20865,1.79786,2.85936e-05,2.85936e-05,2.85936e-05
46,7659.76,1.48805,0.85306,1.74409,0.90313,0.85038,0.88272,0.74239,1.68245,1.23551,1.79737,2.4198e-05,2.4198e-05,2.4198e-05
47,7826.13,1.47641,0.84569,1.74148,0.88429,0.85256,0.87965,0.7406,1.68297,1.23247,1.79641,1.98024e-05,1.98024e-05,1.98024e-05
48,7994.86,1.48382,0.84163,1.73879,0.88935,0.85508,0.88458,0.74611,1.68829,1.21611,1.79605,1.54068e-05,1.54068e-05,1.54068e-05
49,8161.99,1.45571,0.81737,1.74253,0.90165,0.85441,0.88708,0.74821,1.68071,1.1911,1.79561,1.10112e-05,1.10112e-05,1.10112e-05
50,8332.79,1.45856,0.84384,1.73518,0.89563,0.85334,0.88533,0.74715,1.68078,1.27005,1.79595,6.6156e-06,6.6156e-06,6.6156e-06
