epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5589.89,0.60748,0.35584,0.85652,0.90268,0.87419,0.89237,0.7552,0.72536,0.65114,0.89697,4.6176e-05,4.6176e-05,4.6176e-05
42,5722.85,0.60518,0.35142,0.85622,0.90755,0.87537,0.89312,0.75538,0.73036,0.59604,0.89928,4.17804e-05,4.17804e-05,4.17804e-05
43,5855.92,0.59965,0.34604,0.8534,0.90178,0.88293,0.89489,0.75798,0.72279,0.51324,0.89281,3.73848e-05,3.73848e-05,3.73848e-05
44,5990.12,0.59966,0.34468,0.85145,0.91182,0.87913,0.89485,0.75902,0.71983,0.55199,0.89406,3.29892e-05,3.29892e-05,3.29892e-05
45,6125.55,0.5992,0.33769,0.85133,0.90442,0.87681,0.89225,0.75823,0.71899,0.5268,0.89163,2.85936e-05,2.85936e-05,2.85936e-05
46,6268.17,0.6012,0.33701,0.85088,0.90517,0.88061,0.89279,0.75864,0.71979,0.62213,0.8922,2.4198e-05,2.4198e-05,2.4198e-05
47,6401.53,0.59473,0.33418,0.84982,0.90559,0.87991,0.89435,0.76002,0.72406,0.5991,0.89327,1.98024e-05,1.98024e-05,1.98024e-05
48,6534.43,0.59229,0.32749,0.84709,0.89771,0.88249,0.89578,0.76122,0.72468,0.5422,0.89309,1.54068e-05,1.54068e-05,1.54068e-05
49,6673.44,0.58334,0.32139,0.85011,0.91029,0.87833,0.89496,0.7624,0.72078,0.57187,0.89337,1.10112e-05,1.10112e-05,1.10112e-05
50,6806.59,0.58454,0.32171,0.84659,0.90159,0.8829,0.89522,0.7624,0.72146,0.56242,0.89303,6.6156e-06,6.6156e-06,6.6156e-06
