epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.119,1.99826,4.56584,1.94655,0.58576,0.62894,0.5995,0.48933,1.83444,2.59867,1.8716,7.39196e-05,7.39196e-05,7.39196e-05
2,440.218,1.7881,2.42866,1.87352,0.73749,0.71644,0.77159,0.62565,1.8286,1.88971,1.86606,0.000144991,0.000144991,0.000144991
3,654.183,1.77182,2.02416,1.87421,0.66938,0.67665,0.68327,0.55355,1.79512,2.32921,1.86225,0.000213132,0.000213132,0.000213132
4,868.175,1.77071,1.85637,1.86483,0.70665,0.69719,0.73064,0.58804,1.82813,1.94793,1.87344,0.000208813,0.000208813,0.000208813
5,1082.46,1.74033,1.74035,1.85985,0.77458,0.71964,0.77594,0.63286,1.82797,1.74449,1.87079,0.000204418,0.000204418,0.000204418
6,1296.28,1.74067,1.67936,1.86035,0.83222,0.79634,0.83956,0.67996,1.83926,1.58999,1.86515,0.000200022,0.000200022,0.000200022
7,1511.55,1.71774,1.59427,1.84672,0.85965,0.79904,0.84592,0.68799,1.80274,1.51222,1.85969,0.000195626,0.000195626,0.000195626
8,1725.11,1.72619,1.55688,1.85559,0.80834,0.75971,0.80941,0.66098,1.77863,1.64843,1.84204,0.000191231,0.000191231,0.000191231
9,1939.65,1.70024,1.46112,1.84078,0.73753,0.75751,0.78156,0.64095,1.77025,1.7595,1.8492,0.000186835,0.000186835,0.000186835
10,2152.05,1.68024,1.40546,1.84051,0.86769,0.82995,0.86728,0.71595,1.75916,1.37635,1.83641,0.00018244,0.00018244,0.00018244
11,2366.89,1.6739,1.3784,1.83176,0.85003,0.82684,0.85739,0.70361,1.78647,1.40399,1.83834,0.000178044,0.000178044,0.000178044
12,2580.75,1.65648,1.31607,1.82775,0.85617,0.82869,0.86455,0.71575,1.72706,1.37865,1.82132,0.000173648,0.000173648,0.000173648
13,2793.7,1.64936,1.28795,1.82249,0.8397,0.80998,0.85595,0.70622,1.75648,1.43032,1.83125,0.000169253,0.000169253,0.000169253
14,3007.43,1.64574,1.3353,1.82555,0.82033,0.80126,0.84119,0.69336,1.73898,1.50864,1.82539,0.000164857,0.000164857,0.000164857
15,3208.7,1.63833,1.26866,1.81977,0.84779,0.81921,0.86402,0.71944,1.71885,1.35933,1.82479,0.000160462,0.000160462,0.000160462
16,3423.7,1.62978,1.22808,1.8147,0.84351,0.82268,0.85367,0.70712,1.73516,1.42341,1.82391,0.000156066,0.000156066,0.000156066
17,3639.49,1.61322,1.18597,1.80752,0.82535,0.80539,0.83826,0.69478,1.74295,1.5065,1.83449,0.00015167,0.00015167,0.00015167
18,3853.39,1.61144,1.1462,1.81621,0.89684,0.84407,0.8795,0.73277,1.71914,1.25141,1.8211,0.000147275,0.000147275,0.000147275
19,4067.36,1.58404,1.10698,1.79733,0.88192,0.83239,0.86467,0.72302,1.71887,1.51052,1.81952,0.000142879,0.000142879,0.000142879
20,4279.26,1.60184,1.13114,1.79809,0.86836,0.84134,0.86806,0.72321,1.73467,1.37531,1.82296,0.000138484,0.000138484,0.000138484
21,4492.64,1.57788,1.11192,1.7965,0.86007,0.82707,0.86517,0.72281,1.69868,1.56329,1.80824,0.000134088,0.000134088,0.000134088
22,4706.12,1.58316,1.06909,1.79152,0.87742,0.85366,0.87592,0.73163,1.7177,1.30512,1.81719,0.000129692,0.000129692,0.000129692
23,4919.35,1.56843,1.0422,1.7907,0.82216,0.80477,0.83821,0.69512,1.71672,1.54835,1.81927,0.000125297,0.000125297,0.000125297
24,5128.36,1.57377,1.04828,1.79759,0.88905,0.85941,0.88492,0.73929,1.71127,1.3329,1.81216,0.000120901,0.000120901,0.000120901
25,5341.04,1.56215,1.04113,1.78827,0.90813,0.85853,0.88544,0.74044,1.69723,1.19965,1.80783,0.000116506,0.000116506,0.000116506
26,5553.18,1.54684,1.01939,1.77628,0.91093,0.85328,0.88249,0.73725,1.69385,1.23032,1.81291,0.00011211,0.00011211,0.00011211
27,5764.15,1.54454,0.99837,1.78027,0.87963,0.85218,0.88323,0.73999,1.69257,1.4094,1.80696,0.000107714,0.000107714,0.000107714
28,5978.25,1.53265,0.9835,1.78006,0.90183,0.86519,0.89021,0.7486,1.68161,1.22988,1.80264,0.000103319,0.000103319,0.000103319
29,6193.06,1.53077,0.95552,1.77786,0.91172,0.85976,0.88947,0.74772,1.67975,1.17929,1.80121,9.89232e-05,9.89232e-05,9.89232e-05
30,6407.02,1.53079,0.9448,1.77798,0.88714,0.87681,0.89289,0.75176,1.6752,1.15763,1.80139,9.45276e-05,9.45276e-05,9.45276e-05
31,6621.42,1.52149,0.92867,1.77534,0.89423,0.86211,0.88785,0.74754,1.67637,1.22616,1.80315,9.0132e-05,9.0132e-05,9.0132e-05
32,6848.38,1.49767,0.91065,1.76312,0.89707,0.86766,0.8912,0.75126,1.68161,1.20716,1.80379,8.57364e-05,8.57364e-05,8.57364e-05
33,7074.76,1.50142,0.90859,1.76886,0.88859,0.85607,0.88684,0.74716,1.68041,1.20123,1.80364,8.13408e-05,8.13408e-05,8.13408e-05
34,7296.03,1.49792,0.87818,1.76985,0.8841,0.86904,0.88869,0.75029,1.6633,1.27652,1.80094,7.69452e-05,7.69452e-05,7.69452e-05
35,7516.88,1.48077,0.86615,1.75867,0.87937,0.86392,0.88622,0.74973,1.66374,1.18815,1.79381,7.25496e-05,7.25496e-05,7.25496e-05
36,7741.88,1.47747,0.86551,1.75518,0.89427,0.87603,0.89241,0.75376,1.66389,1.17846,1.79479,6.8154e-05,6.8154e-05,6.8154e-05
37,7962.29,1.4721,0.85526,1.75583,0.89769,0.87193,0.89216,0.75835,1.64465,1.21819,1.79075,6.37584e-05,6.37584e-05,6.37584e-05
38,8177.24,1.47145,0.85901,1.75122,0.90505,0.87776,0.89649,0.76176,1.65104,1.08998,1.79228,5.93628e-05,5.93628e-05,5.93628e-05
39,8408.3,1.45706,0.83443,1.75673,0.90407,0.86766,0.89262,0.75822,1.64942,1.15173,1.79628,5.49672e-05,5.49672e-05,5.49672e-05
40,8629.04,1.45854,0.83096,1.75501,0.88729,0.86774,0.8874,0.75236,1.64768,1.15448,1.79151,5.05716e-05,5.05716e-05,5.05716e-05
41,8847.93,1.43605,0.82513,1.73792,0.89454,0.86469,0.89205,0.75481,1.66126,1.22423,1.80124,4.6176e-05,4.6176e-05,4.6176e-05
42,9066.06,1.43266,0.80664,1.73574,0.89562,0.87307,0.8913,0.75669,1.66335,1.12693,1.79613,4.17804e-05,4.17804e-05,4.17804e-05
43,9279.36,1.41388,0.79941,1.73013,0.89413,0.87333,0.89403,0.75993,1.66672,1.1195,1.79932,3.73848e-05,3.73848e-05,3.73848e-05
44,9501.04,1.41652,0.77488,1.72568,0.89194,0.86384,0.88875,0.75502,1.65289,1.3137,1.79653,3.29892e-05,3.29892e-05,3.29892e-05
45,9704.73,1.41237,0.77328,1.72584,0.89092,0.88103,0.89462,0.76087,1.65808,1.17955,1.79733,2.85936e-05,2.85936e-05,2.85936e-05
46,9916.17,1.40981,0.77644,1.72164,0.89182,0.86684,0.88998,0.75618,1.65201,1.4247,1.79688,2.4198e-05,2.4198e-05,2.4198e-05
47,10131.1,1.40132,0.75516,1.72125,0.8939,0.874,0.89161,0.75914,1.65354,1.16947,1.79983,1.98024e-05,1.98024e-05,1.98024e-05
48,10343.9,1.40101,0.75266,1.71624,0.89036,0.8678,0.88797,0.75659,1.64719,1.27746,1.79771,1.54068e-05,1.54068e-05,1.54068e-05
49,10554.3,1.37864,0.73856,1.72061,0.89485,0.87444,0.89292,0.76182,1.64768,1.23383,1.79925,1.10112e-05,1.10112e-05,1.10112e-05
50,10768.9,1.38261,0.74259,1.71404,0.89902,0.87105,0.89277,0.76129,1.64837,1.23273,1.7982,6.6156e-06,6.6156e-06,6.6156e-06
